unspsc,root_domain,page_url,product_title,brand,eco_friendly,merged_description,product_identifier,intended_industries,applicability,ethical_and_sustainability_practices,materials,ingredients,manufacturing_countries,manufacturing_type,customization,packaging_type,form,quality_standards_and_certifications,miscellaneous_features,production_capacity,price,size,color,purity,energy_efficiency,pressure_rating,power_rating
Suspension system components,performancelifts.com,https://performancelifts.com/leveling-kits/ford/f150-2021.html,"Fabtech 2015 - 2023 Ford F150 1.5"" Leveling Kit # FTL5207",,,"The Fabtech 2015 - 2023 Ford F150 1.5"" Leveling Kit # FTL5207 is a comprehensive leveling kit designed for the 2015 to 2023 model years of the Ford F150. This kit is priced at $149.00, reduced from $179.00. It includes all necessary components to lift the vehicle to a 1.5-inch height, enhancing both the appearance and performance of the truck.",[],['Automotive'],"['Vehicle Height Adjustment', 'Vehicle Leveling']",[],[],[],[],[],[],[],[],[],['Reduced from $179.00'],[],"[{'amount': 149.0, 'currency': 'USD', 'type': 'min'}, {'amount': 179.0, 'currency': 'USD', 'type': 'max'}]",[],[],[],[],[],[]
Golf equipment,fadegear.com,https://fadegear.com/collections/mvp-disc-golf-discs/select-by-model_zenith+select-by-model_reactor+features_gummy,Fade Gear Octane Disc Golf Disc,MVP Discs,,"The Fade Gear Octane is a disc golf disc made from plastic, designed for various disc golf applications. It is part of the MVP Discs collection.",[],['Sports'],"['Disc Golf Applications', 'Disc Golf']",[],['Plastic'],[],[],[],[],[],[],[],['Part of the MVP Discs collection'],[],[],[],[],[],[],[],[]
Bath and body,barebumessentials.com,https://www.barebumessentials.com/products/fairly-odd-bar-soap?pr_prod_strat=jac&pr_rec_id=940dc7ab8&pr_rec_pid=7554832728234&pr_ref_pid=7913922298026&pr_seq=uniform,Fairly Odd Bar Soap,BareBumEssentials,True,"The Fairly Odd Bar Soap by BareBumEssentials is a handmade soap bar that comes in a beautiful lime scent. This product is packaged in a 5.5oz bar, making it a convenient and portable option for personal care. The soap is priced at $9.95, with shipping costs calculated at checkout. The Fairly Odd Bar Soap is designed for those who appreciate handmade, artisanal products. The soap is crafted with attention to detail, ensuring a high-quality experience. The lime scent adds a refreshing and invigorating aroma, making it suitable for various uses, from daily cleansing to as a luxurious treat. The product is available for purchase with multiple payment options, including ShopPay. This soap is ideal for individuals seeking a natural and eco-friendly personal care option.",[],[],['Personal Care'],[],[],[],[],[],[],[],[],[],"['handmade', 'Handmade', 'Lime scent', 'beautiful lime scent']",[],"[{'amount': 9.949999809265137, 'currency': 'USD', 'type': 'exact'}]","[{'dimension': 'Weight', 'qualitative': False, 'type': 'exact', 'unit': 'oz', 'value': '5.5'}]",[],[],[],[],[]
Engineered wood products|Interior laminates|Other|Wood,havanaconnect.com,"https://www.havanaconnect.com/shop/?yith_wcan=1&product_tag=saltholm-collection,aspen-collection&brand=hana-laminates",Falster Collection,Hana MFC,,"The Falster Collection is a range of high-quality laminates that are known for their durability, aesthetic appeal, and ability to provide a warm and inviting feel to any space. They are suitable for use in countertops, cabinetry, and interior design.",[],"['Architecture', 'Furniture', 'Construction', 'Manufacturing', 'Interior Design']","['Interior Design Applications', 'Cabinetry', 'Countertops', 'Durable And Aesthetically Appealing Applications', 'functional surfaces', 'decorative purposes', 'Furniture Making', 'decorative surfaces', 'Interior Design', 'High-End Applications', 'furniture selection', 'construction applications']",[],"['Metal', 'Laminate', 'Wood', 'Laminates', 'Chipboard']",[],[],[],[],[],[],[],"['unique designs and patterns', 'chipboard material']",[],[],[],[],[],[],[],[]
Medical documentation products,bkbooks.com,https://bkbooks.com/collections/booklets/booklet+food,Family Booklet,,,"""The 'Family Booklet' is designed to provide information on family issues during the end of life process, serving as part of the hospice nurse medication collection.""",[],['Healthcare'],"['educating and supporting families during end-of-life', 'Support For Family Members During End Of Life Process', 'Information On Family Issues During End Of Life Process']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Mortuary equipment and supplies|Printed publications,bkbooks.com,https://bkbooks.com/collections/all/signs-of-dying+signs-of-death+bundle,Family,,,"""Family"" is a book that offers guidance and support for individuals dealing with family issues during the end of life process, being part of the 'Signs of Dying' bundle.",[],"['Publishing', 'Healthcare']","['collection', 'Support For Family Issues During End Of Life', 'reading']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Medical documentation products|Obstetrical and gynecological equipment and supplies,bkbooks.com,https://bkbooks.com/collections/booklets/family+pet,Fear Booklet,BK Books,,"""The 'Fear Booklet' by BK Books is a resource designed to provide support and guidance on managing fear during the end-of-life process. It is part of the 'Family & Pet' collection, catering specifically to individuals dealing with terminal illness.""",[],"['Pet Care', 'Healthcare']","['Support For Individuals Dealing With Fear During Death And Dying Process', 'Support And Guidance During End-Of-Life Process']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Medical documentation products,bkbooks.com,https://bkbooks.com/collections/all/caregiver,Fear,,,"""Books on End-of-Life Care"" are books designed to offer guidance and support for individuals dealing with fear during the end-of-life process, being part of the 'dying process, hospice end of life care' collection.",[],"['Publishing', 'Healthcare']","['managing fear during end-of-life process', 'guidance and support for individuals dealing with fear during the end-of-life process', 'Providing Guidance And Support For Individuals Dealing With Fear']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Art metals,loveandmaeve.com.au,https://loveandmaeve.com.au/products/feather-silicon-mould-royal?pr_prod_strat=e5_desc&pr_rec_id=a1e9219a0&pr_rec_pid=7388973531300&pr_ref_pid=6976322633892&pr_seq=uniform,Feather Silicon Mould - Royal,Love and Maeve Sugarcraft,,"The Feather Silicon Mould - Royal is a versatile and detailed tool designed for creating intricate feather shapes in sugarcraft. Manufactured by Love and Maeve Sugarcraft, this mould is available at a regular and sale price of $11.90 AUD. The mould is designed to produce three different feather sizes: a large feather measuring 8.2 cm by 3 cm, a medium feather measuring 6.1 cm by 2.3 cm, and a small feather measuring 6.1 cm by 2.3 cm. The mould itself measures 9 cm by 8 cm, providing ample space for shaping and creating detailed feather designs. It is important to note that the colour of the mould may vary. This product is ideal for sugarcraft enthusiasts looking to add a touch of elegance and realism to their sugar decorations. The mould is sold out at the moment, and customers can opt to be notified via email when it is back in stock. Payment options include ShopPay and other methods, ensuring a convenient purchasing experience.",[],['Food & Beverage'],['Sugarcraft'],[],[],[],[],[],[],[],[],[],"['Sold out', 'Payment options: ShopPay and other methods']",[],"[{'amount': 11.899999618530273, 'currency': 'AUD', 'type': 'exact'}]","[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'cm', 'value': '9'}, {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'cm', 'value': '8'}]",[],[],[],[],[]
Wooden adornments,artsignworks.com,https://www.artsignworks.com/products/products_services/fed_seal_plaques.html/title/u30005-wall-plaque-style-selections-metal-coated-4-of-4-,Federal Government Round Seals Carved Wood Wall Plaques,,,"The Federal Government Round Seals Carved Wood Wall Plaques are meticulously crafted wall plaques designed to represent the seals of various federal government departments, agencies, Congress, and courthouses. These plaques are made from high-quality wood and feature round seals, making them a unique and attractive addition to any government facility. The plaques are custom carved, ensuring that each piece is tailored to meet specific design requirements and preferences. They are available in a variety of designs, providing a great selection to suit different aesthetic and informational needs. The plaques are noted for their high quality and affordability, making them an excellent choice for both professional and public use. The materials used in the construction of these plaques are durable and designed to withstand the rigors of daily use. The plaques are suitable for a wide range of applications, including government offices, courthouses, and other public facilities. The manufacturing process ensures that each plaque is unique, with no two pieces being exactly alike. This makes them a distinctive and memorable item for any institution. The plaques are designed to be both functional and decorative, enhancing the visual appeal of the space while providing a clear and recognizable symbol of the organization. The Federal Government Round Seals Carved Wood Wall Plaques are an ideal choice for those looking to add a touch of elegance and professionalism to their government facilities.",[],['Government'],"['Displaying Government Seals', 'Decorative', 'Informative']",[],['Wood'],[],[],[],"['Custom carved to meet specific design requirements', 'Customizable designs to include seals, emblems, logos, and other official insignia']",[],[],[],"['High-quality wood', 'Designed to withstand daily use', 'Designed for professional settings', 'Round seals', 'Variety of designs available', 'Round shape']",[],[],[],[],[],[],[],[]
Formulas and products for nutritional support|Medical documentation products,bkbooks.com,https://bkbooks.com/collections/booklets/not-eating+death-and-dying,Feeding Booklet,Barbara Karnes,,"The ""Feeding Booklet"" is a resource designed to offer guidance and support for individuals experiencing feeding difficulties during the end of life process. It is included in the 'Literature on Death in Russian | Signs of Fast Death' collection, catering specifically to the needs of caregivers and patients dealing with feeding challenges.",[],['Healthcare'],"['Support For Individuals And Caregivers During End Of Life Process', 'Support For Individuals Dealing With Feeding Difficulties', 'Support For Individuals Managing Eating During End Of Life', 'feeding guidance during end of life']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Abrasive wheels|Industrial wheels,refima.eu,https://www.refima.eu/site-map/,Felt Wheels,,,"Felt wheels available in various shapes and sizes, including needle felt wheels, felt flip wheels, split & bevelled edge felt wheels, knife-edged wheels, mandrei-mounted felt bobs, cylindrical shape, cone shape, inverted shape, cartridge shape, conical shape with a square cut tip, pear shape, shape ball, single-layer and multilayer felted piece, mounted point with vertical flaps, felt bobs (unmounted), felt cones with rounded nose, felt cones with a pointed nose, felt strips and cords, and felt tubes.",[],['Manufacturing'],"['Various Applications', 'Various Shapes And Sizes']",[],['Felt'],[],[],[],['Available in various shapes and sizes'],[],[],[],"['needle felt wheels', 'felt flip wheels']",[],[],[],[],[],[],[],[]
